id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration
trip-000058,2016-04-28 20:47:48,2016-04-28 20:54:26,3,-73.902231,40.677973,-73.916289,40.662189,398
trip-000059,2016-04-17 07:38:48,2016-04-17 07:46:43,2,-73.761895,40.551617,-73.743858,40.553782,475
trip-000060,2016-03-15 08:35:44,2016-03-15 08:49:38,3,-73.920843,40.692416,-73.959881,40.70384,834
trip-000061,2016-04-24 17:05:53,2016-04-24 17:18:45,1,-74.004668,40.755373,-74.007893,40.716159,772
trip-000062,2016-02-07 03:51:36,2016-02-07 03:58:07,5,-74.004961,40.775807,-74.021353,40.770286,392
trip-000063,2016-06-18 18:34:55,2016-06-18 18:48:43,4,-73.742625,40.755537,-73.763144,40.795737,829
trip-000064,2016-06-15 10:34:02,2016-06-15 10:44:15,1,-74.028571,40.836965,-74.056402,40.847599,614
trip-000065,2016-01-03 19:56:40,2016-01-03 20:07:49,1,-73.814578,40.579587,-73.838082,40.603398,670
trip-000066,2016-03-28 09:28:28,2016-03-28 09:44:29,2,-73.748027,40.670363,-73.703718,40.644528,962
trip-000067,2016-02-05 17:39:14,2016-02-05 17:56:23,1,-74.012781,40.669402,-74.000106,40.718424,1029
trip-000068,2016-03-22 14:10:21,2016-03-22 14:15:58,2,-73.958976,40.790458,-73.968156,40.782045,338
trip-000069,2016-03-06 19:11:06,2016-03-06 19:19:15,1,-73.882381,40.730331,-73.875673,40.746506,489
trip-000070,2016-06-08 10:48:22,2016-06-08 10:56:11,6,-73.826674,40.87126,-73.819616,40.844102,470
trip-000071,2016-05-28 02:46:21,2016-05-28 02:56:18,1,-73.742788,40.653127,-73.734199,40.635749,597
trip-000072,2016-02-22 21:10:23,2016-02-22 21:16:49,1,-73.796036,40.583966,-73.796643,40.599931,386
trip-000073,2016-04-10 09:03:42,2016-04-10 09:21:09,1,-73.771319,40.594419,-73.718768,40.610644,1047
trip-000074,2016-03-12 20:10:16,2016-03-12 20:33:45,1,-74.041772,40.813088,-74.151593,40.779004,1409
trip-000075,2016-04-03 11:29:16,2016-04-03 11:39:23,2,-73.897103,40.579238,-73.861145,40.585362,608
trip-000076,2016-06-13 10:58:03,2016-06-13 11:09:33,1,-73.855599,40.577952,-73.839261,40.616158,691
trip-000077,2016-05-18 09:35:11,2016-05-18 09:50:09,4,-73.870521,40.768997,-73.90366,40.810815,898
trip-000078,2016-01-10 19:44:10,2016-01-10 19:59:17,2,-73.958955,40.771055,-73.946263,40.727461,907
trip-000079,2016-04-29 07:30:37,2016-04-29 07:39:33,1,-73.819555,40.683873,-73.810209,40.681322,536
trip-000080,2016-05-20 17:57:38,2016-05-20 18:19:38,4,-73.749998,40.671481,-73.647298,40.683094,1320
trip-000081,2016-02-22 14:14:29,2016-02-22 14:29:03,1,-73.945627,40.894186,-74.006339,40.881096,875
trip-000082,2016-05-14 15:08:43,2016-05-14 15:15:31,1,-73.828403,40.5589,-73.844939,40.562003,408
trip-000083,2016-01-16 20:10:26,2016-01-16 20:24:26,2,-74.04666,40.644134,-74.10661,40.634447,840
trip-000084,2016-01-18 00:25:36,2016-01-18 00:29:57,1,-74.024943,40.607314,-74.019182,40.615322,262
trip-000085,2016-03-25 17:14:29,2016-03-25 17:20:11,1,-73.792579,40.632664,-73.804446,40.637619,343
trip-000086,2016-03-16 16:41:45,2016-03-16 16:47:50,2,-74.048235,40.789758,-74.055202,40.785913,365
trip-000087,2016-06-09 09:44:03,2016-06-09 09:51:20,1,-73.756114,40.85738,-73.736729,40.867947,438
trip-000088,2016-05-30 00:28:56,2016-05-30 00:38:17,1,-73.996872,40.672919,-73.960708,40.653172,561
trip-000089,2016-04-18 20:56:53,2016-04-18 21:19:51,1,-73.739002,40.717879,-73.854198,40.722936,1379
trip-000090,2016-04-08 16:36:40,2016-04-08 16:44:35,2,-73.735518,40.892915,-73.734576,40.881431,476
trip-000091,2016-01-10 23:12:40,2016-01-10 23:18:19,4,-73.862046,40.824486,-73.860565,40.829456,339
trip-000092,2016-02-04 16:48:54,2016-02-04 16:58:29,1,-74.029768,40.576344,-74.033442,40.602272,576
trip-000093,2016-03-21 12:50:48,2016-03-21 12:57:31,2,-73.926927,40.702796,-73.895064,40.712748,404
trip-000094,2016-03-18 17:33:36,2016-03-18 18:16:31,1,-73.742777,40.832597,-73.900159,40.852316,2575
trip-000095,2016-03-10 22:34:21,2016-03-10 22:49:39,1,-73.912435,40.899076,-73.832994,40.888513,919
trip-000096,2016-04-01 08:49:17,2016-04-01 08:59:50,2,-73.851447,40.780781,-73.813923,40.772842,634
trip-000097,2016-04-16 23:58:31,2016-04-17 00:07:32,5,-73.947259,40.819968,-73.915115,40.800166,541
trip-000098,2016-03-12 11:33:40,2016-03-12 11:40:13,1,-73.992089,40.877298,-74.010571,40.870924,393
trip-000099,2016-04-16 14:59:39,2016-04-16 15:12:13,2,-73.734742,40.802331,-73.792388,40.810639,755
trip-000100,2016-01-20 15:59:25,2016-01-20 16:10:35,1,-73.718245,40.614376,-73.688885,40.638921,670
trip-000101,2016-06-22 07:13:21,2016-06-22 07:21:21,1,-73.966604,40.858103,-73.958306,40.865109,480
trip-000102,2016-04-04 09:37:28,2016-04-04 09:48:43,2,-73.856475,40.737979,-73.833224,40.731754,676
trip-000103,2016-03-02 11:44:14,2016-03-02 11:54:10,1,-73.88945,40.648444,-73.84765,40.636039,597
trip-000104,2016-03-21 10:59:23,2016-03-21 11:11:28,2,-73.709005,40.775637,-73.651615,40.779525,725
trip-000105,2016-03-15 02:52:39,2016-03-15 03:02:49,1,-73.937867,40.69644,-73.909297,40.672186,611
trip-000106,2016-02-22 18:52:22,2016-02-22 19:09:32,4,-73.742254,40.786546,-73.699668,40.746033,1030
trip-000107,2016-04-21 20:16:43,2016-04-21 20:21:54,2,-73.994399,40.839634,-73.987666,40.846024,311
trip-000108,2016-06-10 09:59:54,2016-06-10 10:37:07,1,-73.786066,40.760737,-73.663912,40.721073,2234
trip-000109,2016-06-10 00:16:45,2016-06-10 00:29:53,1,-73.888028,40.80073,-73.855809,40.836079,789
trip-000110,2016-01-31 16:34:59,2016-01-31 16:43:11,1,-74.026716,40.721386,-74.016873,40.722063,492
trip-000111,2016-05-08 13:38:39,2016-05-08 13:47:02,1,-73.971806,40.877555,-74.002118,40.872546,504
trip-000112,2016-05-17 07:20:10,2016-05-17 07:28:22,1,-73.713781,40.550468,-73.700028,40.554837,493
trip-000113,2016-03-26 20:51:29,2016-03-26 21:00:06,1,-73.977868,40.789,-74.017841,40.797201,518
trip-000114,2016-05-05 16:58:36,2016-05-05 17:07:39,1,-73.81107,40.647883,-73.794094,40.677861,543
trip-000115,2016-05-28 19:33:43,2016-05-28 19:42:53,2,-73.978262,40.582509,-73.971375,40.564666,550
trip-000116,2016-01-20 07:17:51,2016-01-20 07:26:50,1,-73.760785,40.557972,-73.771079,40.551661,539
trip-000117,2016-03-29 12:46:22,2016-03-29 13:07:53,4,-73.88501,40.697706,-73.975954,40.761952,1292
trip-000118,2016-01-06 17:48:16,2016-01-06 17:55:02,1,-73.755544,40.565033,-73.747554,40.549534,407
trip-000119,2016-06-24 12:39:51,2016-06-24 12:46:12,1,-73.848687,40.776906,-73.856519,40.792229,381
trip-000120,2016-04-06 19:10:30,2016-04-06 19:16:05,5,-73.777894,40.606494,-73.766593,40.604576,336
trip-000121,2016-02-21 21:36:55,2016-02-21 21:45:09,1,-73.885221,40.675159,-73.899359,40.664753,495
trip-000122,2016-01-12 19:07:12,2016-01-12 19:23:37,1,-73.798707,40.792997,-73.8437,40.758008,986
trip-000123,2016-01-24 11:08:59,2016-01-24 11:21:04,2,-74.017881,40.74042,-74.067992,40.73232,725
trip-000124,2016-02-21 12:43:37,2016-02-21 12:53:06,1,-73.775814,40.820914,-73.762683,40.806335,569
trip-000125,2016-05-31 15:43:04,2016-05-31 15:51:33,1,-73.810369,40.575738,-73.797109,40.565325,510
trip-000126,2016-06-27 07:26:57,2016-06-27 07:43:35,2,-74.009846,40.819304,-73.992498,40.868938,999
trip-000127,2016-02-24 16:25:54,2016-02-24 16:32:41,6,-73.796248,40.798726,-73.815286,40.796263,407
trip-000128,2016-03-02 18:44:54,2016-03-02 18:54:23,2,-74.048192,40.689206,-74.041939,40.678206,570
trip-000129,2016-06-03 06:57:51,2016-06-03 07:05:26,1,-73.895964,40.785687,-73.918207,40.777912,455
trip-000130,2016-01-19 18:28:46,2016-01-19 18:34:52,1,-73.951488,40.693849,-73.956446,40.679025,366
trip-000131,2016-04-20 17:05:34,2016-04-20 17:15:29,1,-73.78161,40.656312,-73.765832,40.640575,595
trip-000132,2016-04-19 18:09:48,2016-04-19 18:16:34,1,-73.859411,40.868072,-73.860449,40.889501,407
trip-000133,2016-04-02 07:37:00,2016-04-02 07:47:45,1,-73.705563,40.810486,-73.686016,40.778617,645
trip-000134,2016-06-01 18:34:12,2016-06-01 18:42:06,1,-73.986684,40.870683,-74.000999,40.880568,475
trip-000135,2016-01-16 08:46:36,2016-01-16 08:59:11,2,-73.876303,40.772008,-73.920443,40.759993,755
trip-000136,2016-02-21 13:36:14,2016-02-21 13:41:35,1,-73.838619,40.799466,-73.840731,40.810404,322
trip-000137,2016-05-23 20:34:51,2016-05-23 20:48:47,1,-73.784693,40.770772,-73.723741,40.797019,836
trip-000138,2016-02-24 18:04:47,2016-02-24 18:19:32,2,-73.99106,40.566586,-73.956367,40.547087,885
trip-000139,2016-01-12 12:54:25,2016-01-12 12:59:29,3,-73.857682,40.592154,-73.866798,40.589837,304
trip-000140,2016-03-24 21:27:09,2016-03-24 21:34:38,2,-73.921521,40.808502,-73.921919,40.795018,450
trip-000141,2016-06-24 07:59:16,2016-06-24 08:10:59,2,-73.781059,40.716466,-73.801144,40.691296,703
trip-000142,2016-05-23 07:33:37,2016-05-23 07:51:31,1,-73.901732,40.85029,-73.925659,40.905246,1075
trip-000143,2016-06-08 19:04:11,2016-06-08 19:13:21,1,-73.825075,40.562841,-73.792447,40.571723,550
trip-000144,2016-02-21 11:46:39,2016-02-21 11:51:52,1,-73.855347,40.72083,-73.858712,40.715379,314
trip-000145,2016-02-25 18:48:23,2016-02-25 18:55:31,1,-73.97304,40.7262,-73.990677,40.721201,429
trip-000146,2016-01-29 03:18:33,2016-01-29 03:26:01,1,-73.946559,40.700347,-73.918099,40.690583,449
trip-000147,2016-01-24 06:33:23,2016-01-24 06:40:31,1,-73.983558,40.802071,-73.997112,40.783626,429
trip-000148,2016-02-20 14:55:54,2016-02-20 15:09:53,1,-73.808081,40.666409,-73.849426,40.706849,840
trip-000149,2016-06-10 12:29:53,2016-06-10 12:33:14,1,-73.841087,40.882584,-73.85677,40.87608,201
trip-000150,2016-05-02 17:12:29,2016-05-02 17:18:02,2,-73.98414,40.639884,-73.982268,40.647313,334
trip-000151,2016-03-28 15:26:07,2016-03-28 15:35:38,5,-74.031543,40.587581,-74.048065,40.610072,571
trip-000152,2016-03-26 20:39:07,2016-03-26 20:44:31,1,-73.956622,40.739608,-73.967408,40.75404,324
trip-000153,2016-01-23 00:58:11,2016-01-23 01:21:45,1,-73.779183,40.793516,-73.855238,40.858825,1415
trip-000154,2016-03-30 12:38:07,2016-03-30 12:42:07,1,-73.783349,40.819567,-73.775577,40.814671,241
trip-000155,2016-03-31 17:34:28,2016-03-31 17:44:11,4,-73.929337,40.893062,-73.950534,40.871301,584
trip-000156,2016-05-19 05:46:11,2016-05-19 05:57:16,1,-74.016264,40.766636,-74.057724,40.787283,665
trip-000157,2016-02-14 20:46:16,2016-02-14 20:51:15,3,-73.797415,40.846645,-73.790998,40.857173,299
trip-000158,2016-06-06 18:26:01,2016-06-06 18:34:11,1,-73.78551,40.737022,-73.799921,40.723623,490
trip-000159,2016-03-15 12:40:33,2016-03-15 12:48:12,2,-73.809948,40.572099,-73.823511,40.553514,460
trip-000160,2016-01-11 16:22:35,2016-01-11 16:38:59,1,-73.910106,40.794153,-73.98358,40.801139,984
trip-000161,2016-04-26 09:31:07,2016-04-26 09:40:01,1,-74.042247,40.867736,-74.06456,40.886212,534
trip-000162,2016-04-20 14:44:24,2016-04-20 14:50:44,1,-73.990267,40.76507,-74.011951,40.74958,381
trip-000163,2016-06-15 08:22:56,2016-06-15 08:30:33,1,-74.048812,40.610251,-74.057589,40.593328,458
trip-000164,2016-04-10 04:53:09,2016-04-10 05:03:18,1,-73.730054,40.723392,-73.70745,40.750081,610
trip-000165,2016-05-25 08:04:36,2016-05-25 08:09:33,1,-73.767166,40.608835,-73.765422,40.604364,297
trip-000166,2016-02-13 18:38:10,2016-02-13 18:51:53,1,-73.779154,40.682811,-73.812472,40.667828,823
trip-000167,2016-01-30 10:22:21,2016-01-30 10:28:28,2,-73.912957,40.756525,-73.883206,40.753964,368
trip-000168,2016-04-27 17:22:16,2016-04-27 17:31:16,2,-73.934756,40.89113,-73.909641,40.894268,540
trip-000169,2016-03-27 20:13:20,2016-03-27 20:21:56,1,-73.877333,40.775566,-73.886747,40.795715,516
trip-000170,2016-05-24 07:03:54,2016-05-24 07:13:49,2,-73.721477,40.593152,-73.73545,40.574363,595
trip-000171,2016-03-30 18:31:40,2016-03-30 18:40:02,2,-73.959363,40.870546,-73.964024,40.857524,503
trip-000172,2016-05-24 13:24:26,2016-05-24 13:39:27,1,-73.840682,40.822373,-73.911861,40.792111,901
trip-000173,2016-06-29 17:26:10,2016-06-29 17:44:37,1,-74.004888,40.852893,-74.032446,40.90518,1108
trip-000174,2016-06-25 21:55:00,2016-06-25 22:04:07,1,-73.729195,40.555273,-73.731521,40.587889,548
trip-000175,2016-01-16 19:54:26,2016-01-16 20:06:22,1,-73.747399,40.669276,-73.747041,40.649585,717
trip-000176,2016-06-25 19:34:04,2016-06-25 19:40:11,1,-73.925862,40.594292,-73.936403,40.58523,368
trip-000177,2016-04-02 08:38:03,2016-04-02 08:43:34,1,-73.859028,40.714523,-73.846646,40.705392,332
trip-000178,2016-03-09 19:53:58,2016-03-09 19:53:58,1,-73.837668,40.761852,-73.863777,40.707239,1133
trip-000179,2016-06-15 22:14:39,2016-06-15 22:20:16,2,-74.035623,40.714634,-74.025122,40.730073,338
trip-000180,2016-01-31 21:17:47,2016-01-31 21:37:07,1,-73.962349,40.811494,-74.005717,40.741751,1160
trip-000181,2016-03-13 19:03:39,2016-03-13 19:11:29,1,-73.725236,40.620762,-73.714188,40.640194,471
trip-000182,2016-05-31 19:48:54,2016-05-31 20:00:06,2,-74.011134,40.762814,-74.017532,40.787778,673
trip-000183,2016-02-17 15:29:37,2016-02-17 15:35:10,1,-74.03311,40.635215,-74.040634,40.617243,333
trip-000184,2016-06-19 21:36:07,2016-06-19 21:41:52,2,-73.833579,40.637619,-73.84368,40.648563,346
trip-000185,2016-04-11 18:17:18,2016-04-11 18:25:48,3,-73.980577,40.789449,-74.002456,40.777451,510
trip-000186,2016-04-03 06:38:44,2016-04-03 06:45:23,3,-73.896153,40.651458,-73.884192,40.650357,399
trip-000187,2016-02-28 11:57:13,2016-02-28 12:07:50,4,-73.820925,40.667381,-73.841299,40.633408,638
trip-000188,2016-01-23 07:58:32,2016-01-23 08:09:22,1,-73.962305,40.830565,-73.944188,40.809506,651
trip-000189,2016-06-17 21:10:09,2016-06-17 21:16:49,1,-74.027434,40.699902,-74.016963,40.700428,401
trip-000190,2016-01-01 00:40:09,2016-01-01 00:47:52,1,-73.729287,40.757871,-73.698204,40.754167,464
trip-000191,2016-01-16 14:42:34,2016-01-16 14:53:34,2,-73.973527,40.749128,-74.015441,40.762334,661
trip-000192,2016-01-14 18:27:12,2016-01-14 18:33:41,1,-74.039142,40.605364,-74.060093,40.603049,389
trip-000193,2016-02-07 12:42:12,2016-02-07 12:49:07,1,-73.956891,40.760899,-73.98662,40.763579,415
trip-000194,2016-05-13 21:51:28,2016-05-13 21:56:57,1,-73.873584,40.710083,-73.863432,40.724946,330
trip-000195,2016-01-16 11:10:27,2016-01-16 11:17:18,1,-73.889463,40.700977,-73.913314,40.712297,411
trip-000196,2016-01-27 12:25:08,2016-01-27 12:31:50,1,-73.757758,40.70052,-73.772018,40.720568,402
trip-000197,2016-05-09 09:28:55,2016-05-09 09:36:15,4,-73.712227,40.851991,-73.700746,40.834286,440
trip-000198,2016-01-07 20:17:55,2016-01-07 20:28:22,1,-73.75638,40.707227,-73.733158,40.6987,627
trip-000199,2016-02-23 16:19:38,2016-02-23 16:34:47,1,-73.870256,40.606484,-73.917458,40.608902,910
trip-000200,2016-05-30 18:38:54,2016-05-30 18:42:33,3,-74.01407,40.812887,-74.010964,40.805099,219
trip-000201,2016-06-12 16:51:01,2016-06-12 17:07:41,1,-73.883656,40.883206,-73.941338,40.842235,1000
trip-000202,2016-03-31 12:30:31,2016-03-31 12:37:37,3,-74.002769,40.719091,-73.987781,40.709078,426
trip-000203,2016-06-11 00:37:40,2016-06-11 00:45:57,1,-73.974298,40.882348,-73.975019,40.896314,497
trip-000204,2016-06-10 18:29:11,2016-06-10 18:39:51,2,-73.913929,40.847759,-73.902287,40.869463,641
trip-000205,2016-06-19 22:10:02,2016-06-19 22:16:53,4,-73.810474,40.680117,-73.792801,40.676349,411
trip-000206,2016-02-15 08:40:01,2016-02-15 08:52:55,1,-73.897685,40.828632,-73.912967,40.857184,774
trip-000207,2016-02-16 17:09:28,2016-02-16 17:22:41,1,-73.757226,40.598027,-73.711912,40.60556,793
trip-000208,2016-04-30 17:14:56,2016-04-30 17:28:54,1,-74.038056,40.860113,-74.089436,40.852642,839
trip-000209,2016-01-01 04:14:18,2016-01-01 04:21:10,1,-73.842912,40.710763,-73.833336,40.725509,412
trip-000210,2016-02-18 15:22:46,2016-02-18 15:30:52,1,-73.96918,40.79296,-73.945309,40.783486,487
trip-000211,2016-03-11 17:31:44,2016-03-11 17:51:44,1,-73.798797,40.846597,-73.837076,40.90425,1200
trip-000212,2016-06-10 19:41:00,2016-06-10 19:59:03,2,-74.013226,40.899723,-73.981971,40.953701,1084
trip-000213,2016-06-24 15:34:18,2016-06-24 15:52:00,3,-74.036177,40.554136,-74.02093,40.500852,1063
trip-000214,2016-03-03 00:45:38,2016-03-03 00:53:23,2,-73.785248,40.749103,-73.81438,40.771123,466
trip-000215,2016-05-19 15:03:05,2016-05-19 15:11:35,1,-73.980384,40.622961,-73.966196,40.648453,510
trip-000216,2016-04-09 21:52:03,2016-04-09 21:57:47,1,-73.888933,40.700588,-73.910277,40.701916,344
trip-000217,2016-01-11 15:55:57,2016-01-11 15:58:36,1,-73.889616,40.848001,-73.886607,40.837428,159
trip-000218,2016-03-13 17:11:55,2016-03-13 17:17:47,2,-73.974638,40.895057,-73.985495,40.890552,352
trip-000219,2016-05-07 00:07:57,2016-05-07 00:14:22,5,-73.724337,40.76465,-73.710557,40.758872,386
trip-000220,2016-05-08 19:12:18,2016-05-08 19:22:59,1,-74.042744,40.586587,-74.034233,40.569906,642
trip-000221,2016-06-15 11:38:47,2016-06-15 11:42:31,1,-73.92025,40.639769,-73.925933,40.637393,225
trip-000222,2016-04-24 06:16:39,2016-04-24 06:27:13,1,-73.90029,40.573904,-73.885517,40.598285,634
trip-000223,2016-06-25 20:34:49,2016-06-25 20:44:15,5,-73.826872,40.603941,-73.830646,40.584373,566
trip-000224,2016-03-23 10:21:32,2016-03-23 10:33:18,2,-73.761192,40.574839,-73.704434,40.540817,707
trip-000225,2016-05-10 20:59:30,2016-05-10 21:13:50,4,-73.768822,40.558865,-73.823628,40.598376,861
trip-000226,2016-04-22 10:00:43,2016-04-22 10:07:04,2,-73.992416,40.669951,-74.008745,40.679804,381
trip-000227,2016-06-06 08:05:55,2016-06-06 08:14:49,2,-74.001472,40.597626,-74.034406,40.596583,535
trip-000228,2016-06-18 22:13:25,2016-06-18 22:22:11,3,-73.707148,40.564865,-73.714722,40.57971,526
trip-000229,2016-06-02 00:34:40,2016-06-02 00:43:33,1,-73.998173,40.690601,-73.972143,40.694149,534
trip-000230,2016-06-22 13:24:05,2016-06-22 13:51:49,1,-73.912944,40.811299,-73.809332,40.871154,1665
trip-000231,2016-03-06 17:49:33,2016-03-06 17:59:00,1,-73.77724,40.656404,-73.759093,40.635337,568
trip-000232,2016-06-29 21:59:00,2016-06-29 22:12:59,1,-73.832194,40.867875,-73.905493,40.841472,839
trip-000233,2016-01-19 15:21:41,2016-01-19 15:30:00,1,-73.749889,40.845325,-73.715966,40.846155,499
trip-000234,2016-03-07 13:27:07,2016-03-07 13:36:42,3,-73.903782,40.829394,-73.909666,40.801731,575
trip-000235,2016-05-12 09:35:23,2016-05-12 09:54:43,1,-73.770582,40.557501,-73.845208,40.579693,1161
trip-000236,2016-04-22 10:32:03,2016-04-22 10:39:12,1,-73.987447,40.706041,-74.025004,40.710669,430
trip-000237,2016-01-25 09:28:08,2016-01-25 09:35:44,1,-73.808159,40.834984,-73.786958,40.823971,457
