date,temp_c,precipitation_mm,weather
2016-03-05,-7.9,0.8,snow
2016-03-06,-6.8,0.0,cloudy
2016-03-07,-3.8,0.0,clear
2016-03-08,-3.0,7.9,rain
2016-03-09,-9.0,1.7,snow
2016-03-10,-7.5,0.0,clear
2016-03-11,-3.7,0.0,clear
2016-03-12,-10.2,9.6,rain
2016-03-13,-6.2,4.4,snow
2016-03-14,-5.0,0.0,clear
2016-03-15,-1.5,4.7,snow
2016-03-16,-2.7,11.3,snow
2016-03-17,-5.0,0.0,cloudy
2016-03-18,-4.9,5.1,snow
2016-03-19,-4.5,12.0,rain
2016-03-20,0.2,8.9,rain
2016-03-21,-4.5,9.2,rain
2016-03-22,-4.0,0.0,clear
2016-03-23,-2.1,5.6,rain
2016-03-24,-3.1,0.0,cloudy
2016-03-25,-3.1,0.0,cloudy
2016-03-26,-5.2,0.0,clear
2016-03-27,-2.2,4.0,rain
2016-03-28,-3.1,0.0,cloudy
2016-03-29,1.2,0.0,clear
2016-03-30,0.1,0.0,clear
2016-03-31,-1.4,8.0,snow
2016-04-01,0.6,5.7,rain
2016-04-02,-1.7,10.8,snow
2016-04-03,2.0,0.0,clear
2016-04-04,-0.5,0.0,clear
2016-04-05,1.2,0.0,cloudy
2016-04-06,-3.2,1.4,snow
2016-04-07,1.1,4.8,rain
2016-04-08,-3.8,5.8,snow
2016-04-09,-4.4,0.0,cloudy
2016-04-10,0.1,5.1,rain
2016-04-11,-1.1,3.2,rain
2016-04-12,1.7,0.0,cloudy
2016-04-13,7.2,0.0,clear
2016-04-14,-0.3,10.2,snow
2016-04-15,0.4,2.7,rain
2016-04-16,2.7,6.3,rain
2016-04-17,3.7,0.0,clear
2016-04-18,2.2,0.0,cloudy
2016-04-19,2.4,0.0,cloudy
2016-04-20,4.9,0.0,cloudy
2016-04-21,4.6,0.0,cloudy
2016-04-22,1.0,0.0,cloudy
2016-04-23,3.6,0.0,cloudy
2016-04-24,4.1,0.0,cloudy
2016-04-25,1.6,0.0,clear
2016-04-26,5.1,3.3,rain
2016-04-27,2.5,0.0,clear
2016-04-28,7.3,0.0,clear
2016-04-29,5.6,0.0,cloudy
2016-04-30,5.5,0.0,clear
2016-05-01,4.1,0.0,clear
2016-05-02,5.5,0.0,cloudy
2016-05-03,1.0,16.2,rain
2016-05-04,3.3,0.0,clear
2016-05-05,7.3,0.0,clear
2016-05-06,1.3,0.0,clear
2016-05-07,8.9,0.0,cloudy
2016-05-08,2.6,0.0,clear
2016-05-09,9.1,0.0,clear
2016-05-10,5.3,0.0,clear
2016-05-11,9.6,0.0,cloudy
2016-05-12,8.2,0.0,clear
2016-05-13,4.2,4.9,rain
2016-05-14,11.3,0.0,clear
2016-05-15,12.0,0.0,cloudy
2016-05-16,8.4,5.1,rain
2016-05-17,8.1,0.0,clear
2016-05-18,8.6,0.0,clear
2016-05-19,6.7,0.0,clear
2016-05-20,12.1,2.3,rain
2016-05-21,8.2,3.6,rain
2016-05-22,9.6,0.0,cloudy
2016-05-23,7.9,6.7,rain
2016-05-24,8.5,17.6,rain
2016-05-25,7.1,0.0,cloudy
2016-05-26,13.6,0.0,clear
2016-05-27,10.2,0.0,clear
2016-05-28,13.2,5.2,rain
2016-05-29,11.0,0.0,clear
2016-05-30,9.4,0.4,rain
2016-05-31,10.4,0.0,clear
2016-06-01,10.0,4.2,rain
2016-06-02,11.6,0.0,clear
2016-06-03,10.8,1.9,rain
2016-06-04,11.1,0.0,clear
2016-06-05,8.6,0.0,cloudy
2016-06-06,10.1,0.0,clear
2016-06-07,16.4,0.0,clear
2016-06-08,10.7,7.5,rain
2016-06-09,9.9,0.0,clear
2016-06-10,13.5,0.0,clear
2016-06-11,16.3,0.0,cloudy
2016-06-12,9.3,4.8,rain
2016-06-13,12.5,0.0,clear
2016-06-14,11.6,9.2,rain
2016-06-15,8.9,2.5,rain
2016-06-16,15.2,1.3,rain
2016-06-17,13.4,0.0,clear
2016-06-18,13.8,1.8,rain
2016-06-19,11.8,3.6,rain
2016-06-20,14.9,0.0,cloudy
2016-06-21,12.5,0.0,clear
2016-06-22,13.6,3.7,rain
2016-06-23,11.3,0.0,cloudy
2016-06-24,11.1,0.4,rain
2016-06-25,17.6,0.0,cloudy
2016-06-26,13.0,0.0,clear
2016-06-27,15.1,0.0,clear
2016-06-28,14.3,0.0,cloudy
2016-06-29,13.4,0.0,cloudy
2016-06-30,13.3,0.0,cloudy
